oblast,raion,hromada,level,started_at,finished_at,source
Kyiv City,,,oblast,2024-01-15 16:35:00+00:00,2024-01-15 17:27:00+00:00,official
Kyiv City,,,oblast,2024-01-15 17:49:00+00:00,2024-01-15 18:43:00+00:00,official
Kyiv City,,,oblast,2024-01-15 20:07:00+00:00,2024-01-15 21:10:00+00:00,official
Kyiv City,,,oblast,2024-01-15 23:30:00+00:00,2024-01-16 00:45:00+00:00,official
Kyiv City,,,oblast,2024-01-16 00:32:00+00:00,2024-01-16 01:25:00+00:00,official
Kyiv City,,,oblast,2024-01-16 05:58:00+00:00,2024-01-16 07:22:00+00:00,official
Kharkiv,,,oblast,2024-01-16 06:00:00+00:00,2024-01-16 06:45:00+00:00,official
Kyiv City,,,oblast,2024-01-16 13:29:00+00:00,2024-01-16 14:09:00+00:00,official
Kyiv City,,,oblast,2024-01-17 20:53:00+00:00,2024-01-17 21:51:00+00:00,official
Kyiv City,,,oblast,2024-01-18 04:48:00+00:00,2024-01-18 05:55:00+00:00,official
Kyiv City,,,oblast,2024-01-18 05:49:00+00:00,2024-01-18 07:18:00+00:00,official
Kharkiv,,,oblast,2024-01-19 14:00:00+00:00,2024-01-19 14:45:00+00:00,official
Kyiv City,,,oblast,2024-01-19 19:31:00+00:00,2024-01-19 20:32:00+00:00,official
Kyiv City,,,oblast,2024-01-20 03:56:00+00:00,2024-01-20 05:02:00+00:00,official
Kyiv City,,,oblast,2024-01-20 14:00:00+00:00,2024-01-20 14:45:00+00:00,official
Kyiv City,,,oblast,2024-01-20 14:00:00+00:00,2024-01-20 14:45:00+00:00,official
Kyiv City,,,oblast,2024-01-21 07:15:00+00:00,2024-01-21 07:42:00+00:00,official
Kyiv City,,,oblast,2024-01-21 15:48:00+00:00,2024-01-21 16:16:00+00:00,official
Kyiv City,,,oblast,2024-01-21 18:05:00+00:00,2024-01-21 18:35:00+00:00,official
Kyiv City,,,oblast,2024-01-22 04:35:00+00:00,2024-01-22 05:55:00+00:00,official
Kyiv City,,,oblast,2024-01-22 05:33:00+00:00,2024-01-22 06:26:00+00:00,official
Kharkiv,,,oblast,2024-01-22 10:00:00+00:00,2024-01-22 10:45:00+00:00,official
Kyiv City,,,oblast,2024-01-23 06:48:00+00:00,2024-01-23 08:17:00+00:00,official
Kyiv City,,,oblast,2024-01-23 09:42:00+00:00,2024-01-23 10:53:00+00:00,official
Kyiv City,,,oblast,2024-01-23 20:28:00+00:00,2024-01-23 21:35:00+00:00,official
Kyiv City,,,oblast,2024-01-23 22:45:00+00:00,2024-01-23 23:30:00+00:00,official
Kyiv City,,,oblast,2024-01-24 02:01:00+00:00,2024-01-24 03:04:00+00:00,official
Kyiv City,,,oblast,2024-01-24 03:14:00+00:00,2024-01-24 04:05:00+00:00,official
Kyiv City,,,oblast,2024-01-24 18:00:00+00:00,2024-01-24 18:48:00+00:00,official
Kyiv City,,,oblast,2024-01-24 18:14:00+00:00,2024-01-24 19:44:00+00:00,official
Kharkiv,,,oblast,2024-01-25 10:00:00+00:00,2024-01-25 10:45:00+00:00,official
Kyiv City,,,oblast,2024-01-25 22:14:00+00:00,2024-01-25 22:41:00+00:00,official
Kyiv City,,,oblast,2024-01-26 01:04:00+00:00,2024-01-26 02:06:00+00:00,official
Lviv,,,oblast,2024-01-26 12:00:00+00:00,2024-01-26 12:54:00+00:00,official
Kyiv City,,,oblast,2024-01-27 08:13:00+00:00,2024-01-27 09:35:00+00:00,official
Kyiv City,,,oblast,2024-01-27 17:46:00+00:00,2024-01-27 18:22:00+00:00,official
Lviv,,,oblast,2024-01-27 18:00:00+00:00,2024-01-27 18:38:00+00:00,official
Kyiv City,,,oblast,2024-01-28 03:22:00+00:00,2024-01-28 04:37:00+00:00,official
Kyiv City,,,oblast,2024-01-28 07:51:00+00:00,2024-01-28 09:11:00+00:00,official
Kharkiv,,,oblast,2024-01-28 12:00:00+00:00,2024-01-28 12:45:00+00:00,official
Kyiv City,,,oblast,2024-01-28 13:06:00+00:00,2024-01-28 13:50:00+00:00,official
Kyiv City,,,oblast,2024-01-28 13:29:00+00:00,2024-01-28 14:41:00+00:00,official
Kyiv City,,,oblast,2024-01-29 21:03:00+00:00,2024-01-29 21:35:00+00:00,official
Kyiv City,,,oblast,2024-01-30 05:29:00+00:00,2024-01-30 06:24:00+00:00,official
Kyiv City,,,oblast,2024-01-30 06:34:00+00:00,2024-01-30 07:18:00+00:00,official
Kyiv City,,,oblast,2024-01-30 10:15:00+00:00,2024-01-30 10:48:00+00:00,official
Kyiv City,,,oblast,2024-01-30 14:27:00+00:00,2024-01-30 15:04:00+00:00,official
Kyiv City,,,oblast,2024-01-31 02:51:00+00:00,2024-01-31 04:07:00+00:00,official
Kharkiv,,,oblast,2024-01-31 08:00:00+00:00,2024-01-31 08:45:00+00:00,official
Lviv,,,oblast,2024-01-31 09:00:00+00:00,2024-01-31 09:52:00+00:00,official
Kyiv City,,,oblast,2024-01-31 17:03:00+00:00,2024-01-31 17:35:00+00:00,official
Kyiv City,,,oblast,2024-02-01 02:10:00+00:00,2024-02-01 03:00:00+00:00,official
Kharkiv,,,oblast,2024-02-01 04:00:00+00:00,2024-02-01 23:59:00+00:00,official
Lviv,,,oblast,2024-02-01 12:00:00+00:00,2024-02-01 12:40:00+00:00,official
Kyiv City,,,oblast,2024-02-02 08:18:00+00:00,2024-02-02 09:36:00+00:00,official
Kyiv City,,,oblast,2024-02-02 12:10:00+00:00,2024-02-02 12:37:00+00:00,official
Kyiv City,,,oblast,2024-02-02 12:24:00+00:00,2024-02-02 12:44:00+00:00,official
Kyiv City,,,oblast,2024-02-02 15:13:00+00:00,2024-02-02 16:34:00+00:00,official
Lviv,,,oblast,2024-02-02 16:00:00+00:00,2024-02-02 16:32:00+00:00,official
Kyiv City,,,oblast,2024-02-03 01:03:00+00:00,2024-02-03 02:32:00+00:00,official
Kyiv City,,,oblast,2024-02-03 06:13:00+00:00,2024-02-03 07:10:00+00:00,official
Kyiv City,,,oblast,2024-02-03 10:03:00+00:00,2024-02-03 10:30:00+00:00,official
Lviv,,,oblast,2024-02-03 11:00:00+00:00,2024-02-03 11:42:00+00:00,official
Kharkiv,,,oblast,2024-02-03 13:00:00+00:00,2024-02-03 13:45:00+00:00,official
Kyiv City,,,oblast,2024-02-03 22:09:00+00:00,2024-02-03 23:31:00+00:00,official
Kyiv City,,,oblast,2024-02-04 01:05:00+00:00,2024-02-04 02:30:00+00:00,official
Kyiv City,,,oblast,2024-02-04 02:25:00+00:00,2024-02-04 03:15:00+00:00,official
Kyiv City,,,oblast,2024-02-04 05:38:00+00:00,2024-02-04 06:06:00+00:00,official
Kyiv City,,,oblast,2024-02-04 16:10:00+00:00,2024-02-04 17:37:00+00:00,official
Kyiv City,,,oblast,2024-02-05 18:37:00+00:00,2024-02-05 19:28:00+00:00,official
Kharkiv,,,oblast,2024-02-06 08:00:00+00:00,2024-02-06 08:45:00+00:00,official
Lviv,,,oblast,2024-02-06 14:00:00+00:00,2024-02-06 14:40:00+00:00,official
Kyiv City,,,oblast,2024-02-06 19:26:00+00:00,2024-02-06 19:56:00+00:00,official
Kyiv City,,,oblast,2024-02-07 08:08:00+00:00,2024-02-07 09:18:00+00:00,official
Kyiv City,,,oblast,2024-02-07 08:42:00+00:00,2024-02-07 09:28:00+00:00,official
Kyiv City,,,oblast,2024-02-07 22:15:00+00:00,2024-02-07 23:15:00+00:00,official
Kyiv City,,,oblast,2024-02-08 02:29:00+00:00,2024-02-08 02:50:00+00:00,official
Lviv,,,oblast,2024-02-08 11:00:00+00:00,2024-02-08 11:56:00+00:00,official
Kyiv City,,,oblast,2024-02-08 14:59:00+00:00,2024-02-08 15:59:00+00:00,official
Kyiv City,,,oblast,2024-02-08 19:04:00+00:00,2024-02-08 19:36:00+00:00,official
Kharkiv,,,oblast,2024-02-09 02:00:00+00:00,2024-02-09 02:45:00+00:00,official
Kyiv City,,,oblast,2024-02-09 11:56:00+00:00,2024-02-09 12:24:00+00:00,official
Kyiv City,,,oblast,2024-02-09 16:08:00+00:00,2024-02-09 17:01:00+00:00,official
Lviv,,,oblast,2024-02-09 20:00:00+00:00,2024-02-09 20:48:00+00:00,official
Kyiv City,,,oblast,2024-02-10 11:10:00+00:00,2024-02-10 12:06:00+00:00,official
Kyiv City,,,oblast,2024-02-10 14:45:00+00:00,2024-02-10 16:14:00+00:00,official
Kyiv City,,,oblast,2024-02-11 19:00:00+00:00,2024-02-11 20:27:00+00:00,official
Lviv,,,oblast,2024-02-11 20:00:00+00:00,2024-02-11 20:48:00+00:00,official
Kyiv City,,,oblast,2024-02-11 21:19:00+00:00,2024-02-11 22:49:00+00:00,official
Kyiv City,,,oblast,2024-02-11 21:56:00+00:00,2024-02-11 22:29:00+00:00,official
Kyiv City,,,oblast,2024-02-12 03:09:00+00:00,2024-02-12 04:39:00+00:00,official
Lviv,,,oblast,2024-02-12 08:00:00+00:00,2024-02-12 09:00:00+00:00,official
Kyiv City,,,oblast,2024-02-12 08:56:00+00:00,2024-02-12 09:30:00+00:00,official
Kharkiv,,,oblast,2024-02-12 15:00:00+00:00,2024-02-12 15:45:00+00:00,official
Kyiv City,,,oblast,2024-02-13 09:45:00+00:00,2024-02-13 10:31:00+00:00,official
Kyiv City,,,oblast,2024-02-13 10:43:00+00:00,2024-02-13 11:29:00+00:00,official
Lviv,,,oblast,2024-02-13 20:00:00+00:00,2024-02-13 20:42:00+00:00,official
Kyiv City,,,oblast,2024-02-13 20:32:00+00:00,2024-02-13 21:25:00+00:00,official
Kyiv City,,,oblast,2024-02-14 08:00:00+00:00,2024-02-14 08:25:00+00:00,official
Kyiv City,,,oblast,2024-02-14 08:05:00+00:00,2024-02-14 08:31:00+00:00,official
Kyiv City,,,oblast,2024-02-14 10:40:00+00:00,2024-02-14 11:16:00+00:00,official
Kyiv City,,,oblast,2024-02-14 20:53:00+00:00,2024-02-14 22:07:00+00:00,official
Kharkiv,,,oblast,2024-02-15 00:00:00+00:00,2024-02-15 00:45:00+00:00,official
Kyiv City,,,oblast,2024-02-15 00:04:00+00:00,2024-02-15 00:38:00+00:00,official
Kyiv City,,,oblast,2024-02-15 05:35:00+00:00,2024-02-15 06:51:00+00:00,official
Kyiv City,,,oblast,2024-02-15 22:35:00+00:00,2024-02-15 23:49:00+00:00,official
Kyiv City,,,oblast,2024-02-16 11:09:00+00:00,2024-02-16 12:39:00+00:00,official
Kyiv City,,,oblast,2024-02-16 17:53:00+00:00,2024-02-16 18:17:00+00:00,official
Lviv,,,oblast,2024-02-16 19:00:00+00:00,2024-02-16 19:53:00+00:00,official
Kyiv City,,,oblast,2024-02-17 04:19:00+00:00,2024-02-17 04:44:00+00:00,official
Kyiv City,,,oblast,2024-02-17 07:22:00+00:00,2024-02-17 07:55:00+00:00,official
Kyiv City,,,oblast,2024-02-17 11:43:00+00:00,2024-02-17 12:29:00+00:00,official
Kyiv City,,,oblast,2024-02-17 11:57:00+00:00,2024-02-17 12:22:00+00:00,official
Kyiv City,,,oblast,2024-02-18 05:01:00+00:00,2024-02-18 06:13:00+00:00,official
Kyiv City,,,oblast,2024-02-18 05:50:00+00:00,2024-02-18 06:52:00+00:00,official
Kyiv City,,,oblast,2024-02-18 07:51:00+00:00,2024-02-18 08:31:00+00:00,official
Kyiv City,,,oblast,2024-02-18 19:59:00+00:00,2024-02-18 20:38:00+00:00,official
Kharkiv,,,oblast,2024-02-18 23:00:00+00:00,2024-02-18 23:45:00+00:00,official
Kyiv City,,,oblast,2024-02-19 01:14:00+00:00,2024-02-19 02:34:00+00:00,official
Kyiv City,,,oblast,2024-02-19 05:24:00+00:00,2024-02-19 05:57:00+00:00,official
Kyiv City,,,oblast,2024-02-19 06:22:00+00:00,2024-02-19 07:40:00+00:00,official
Lviv,,,oblast,2024-02-19 11:00:00+00:00,2024-02-19 11:38:00+00:00,official
Kyiv City,,,oblast,2024-02-19 21:17:00+00:00,2024-02-19 22:08:00+00:00,official
Kyiv City,,,oblast,2024-02-20 07:01:00+00:00,2024-02-20 07:49:00+00:00,official
Lviv,,,oblast,2024-02-20 08:00:00+00:00,2024-02-20 08:42:00+00:00,official
Kyiv City,,,oblast,2024-02-20 10:55:00+00:00,2024-02-20 11:50:00+00:00,official
Kyiv City,,,oblast,2024-02-20 21:25:00+00:00,2024-02-20 22:09:00+00:00,official
Kyiv City,,,oblast,2024-02-21 08:41:00+00:00,2024-02-21 09:45:00+00:00,official
Kharkiv,,,oblast,2024-02-21 17:00:00+00:00,2024-02-21 17:45:00+00:00,official
Lviv,,,oblast,2024-02-21 18:00:00+00:00,2024-02-21 18:55:00+00:00,official
Kyiv City,,,oblast,2024-02-22 00:56:00+00:00,2024-02-22 01:30:00+00:00,official
Kyiv City,,,oblast,2024-02-22 08:06:00+00:00,2024-02-22 08:30:00+00:00,official
Kyiv City,,,oblast,2024-02-22 08:37:00+00:00,2024-02-22 09:19:00+00:00,official
Lviv,,,oblast,2024-02-22 10:00:00+00:00,2024-02-22 10:56:00+00:00,official
Kyiv City,,,oblast,2024-02-22 21:21:00+00:00,2024-02-22 22:49:00+00:00,official
Kyiv City,,,oblast,2024-02-23 01:00:00+00:00,2024-02-23 02:15:00+00:00,official
Lviv,,,oblast,2024-02-23 10:00:00+00:00,2024-02-23 10:49:00+00:00,official
Kyiv City,,,oblast,2024-02-23 11:27:00+00:00,2024-02-23 12:27:00+00:00,official
Kyiv City,,,oblast,2024-02-23 12:16:00+00:00,2024-02-23 13:00:00+00:00,official
Kyiv City,,,oblast,2024-02-23 19:07:00+00:00,2024-02-23 20:32:00+00:00,official
Kharkiv,,,oblast,2024-02-24 01:00:00+00:00,2024-02-24 01:45:00+00:00,official
Kyiv City,,,oblast,2024-02-24 11:04:00+00:00,2024-02-24 12:19:00+00:00,official
Kyiv City,,,oblast,2024-02-24 21:39:00+00:00,2024-02-24 22:41:00+00:00,official
Kyiv City,,,oblast,2024-02-25 09:19:00+00:00,2024-02-25 10:43:00+00:00,official
Kyiv City,,,oblast,2024-02-25 21:20:00+00:00,2024-02-25 22:32:00+00:00,official
Kyiv City,,,oblast,2024-02-25 21:46:00+00:00,2024-02-25 22:21:00+00:00,official
Kyiv City,,,oblast,2024-02-26 04:26:00+00:00,2024-02-26 05:10:00+00:00,official
Kyiv City,,,oblast,2024-02-26 05:25:00+00:00,2024-02-26 06:23:00+00:00,official
Kyiv City,,,oblast,2024-02-26 21:43:00+00:00,2024-02-26 22:51:00+00:00,official
Kyiv City,,,oblast,2024-02-26 22:35:00+00:00,2024-02-26 23:32:00+00:00,official
Kyiv City,,,oblast,2024-02-27 09:13:00+00:00,2024-02-27 10:09:00+00:00,official
Kharkiv,,,oblast,2024-02-27 11:00:00+00:00,2024-02-27 11:45:00+00:00,official
Kyiv City,,,oblast,2024-02-28 05:18:00+00:00,2024-02-28 05:48:00+00:00,official
Kyiv City,,,oblast,2024-02-28 06:30:00+00:00,2024-02-28 07:55:00+00:00,official
Lviv,,,oblast,2024-02-28 14:00:00+00:00,2024-02-28 14:34:00+00:00,official
Kyiv City,,,oblast,2024-02-28 14:43:00+00:00,2024-02-28 15:59:00+00:00,official
Kyiv City,,,oblast,2024-02-28 18:29:00+00:00,2024-02-28 19:30:00+00:00,official
Kyiv City,,,oblast,2024-02-29 02:43:00+00:00,2024-02-29 03:33:00+00:00,official
Kyiv City,,,oblast,2024-02-29 06:01:00+00:00,2024-02-29 06:39:00+00:00,official
Kyiv City,,,oblast,2024-02-29 09:51:00+00:00,2024-02-29 10:39:00+00:00,official
